userId,movieId,rating,timestamp
438,4344,3.5,1105664636
323,230,3.0,1422640640
226,520,4.0,1095663071
103,1230,4.0,1432086587
68,1961,2.5,1158531027
226,8784,4.5,1114842920
534,2720,3.0,1459796053
495,7458,4.0,1458636037
414,2275,4.0,961514724
105,2762,4.5,1448196106
62,68237,2.0,1522189879
298,4643,2.0,1447598237
168,2858,5.0,1306801883
352,115149,4.0,1493674729
555,3450,5.0,978746793
603,3571,4.0,963175947
462,148982,4.0,1515473938
159,8969,2.0,1508641172
103,5673,4.5,1448753463
216,3893,4.0,974733556
298,54503,4.0,1447584434
438,3852,3.5,1105654001
555,2918,4.0,978820487
178,377,3.5,1164355249
51,1014,0.5,1230931457
58,282,4.0,847718851
136,442,3.0,832449858
438,45447,3.0,1148733440
483,37830,2.0,1181496567
298,5283,2.0,1467489428
560,71156,4.0,1469651767
27,2080,4.0,965149710
255,1194,5.0,1005717492
525,7762,4.0,1476478587
603,506,5.0,963179949
226,30793,4.0,1130136595
520,2012,4.0,1326608524
358,2572,4.0,1339546490
349,381,3.0,834751344
603,2865,4.0,963178079
610,153,3.0,1479544720
66,21,4.0,1113190363
566,588,3.0,849005206
597,260,5.0,940420585
89,76293,3.5,1520408896
212,112183,3.0,1490115406
393,1653,4.0,1430506736
82,260,3.5,1084463958
176,39,3.0,840108930
610,39801,3.5,1479545372
599,70703,2.0,1519235103
282,6936,3.0,1514068553
143,68954,5.0,1444768668
177,2394,2.5,1435535226
517,1032,4.0,1487956863
480,1673,4.5,1179160932
414,49396,3.5,1216150161
274,520,3.5,1171943669
482,474,3.5,1105396882
605,6624,3.0,1277096115
570,1,4.0,1181476989
313,2001,3.0,1030556440
474,7835,3.5,1144882786
425,33162,4.0,1130013501
182,4160,4.0,1069633978
115,1304,5.0,959800922
22,858,3.0,1268726337
489,910,4.5,1332706110
474,2752,2.0,1046887989
226,784,4.0,1095662965
600,3248,1.0,1237762604
275,1304,5.0,1049079408
285,3296,4.0,1468964357
425,6764,2.5,1085491352
249,97304,4.5,1360112099
142,225,4.0,838934449
68,2496,3.0,1269123053
318,71867,3.0,1457474210
382,34048,4.5,1515171073
476,434,3.0,835021420
177,106916,2.0,1435529819
380,7570,4.0,1536873821
480,6932,1.5,1179163354
313,4951,4.0,1030476573
84,350,4.0,858772136
514,4007,4.0,1533948901
64,3354,0.5,1161565846
489,2424,3.5,1332774174
307,3863,1.5,1186087745
603,4741,4.0,1002403253
352,110730,3.0,1493675317
426,4027,2.0,1451081142
526,4014,4.5,1502132883
221,1914,4.0,1111178102
57,1274,3.0,965798228
198,1917,3.0,1034138247
10,73017,3.0,1455356691
417,55247,5.0,1529284048
6,349,5.0,845553146
135,3476,4.0,1009691164
357,96563,4.0,1348611468
525,1035,4.5,1476477806
473,7147,4.0,1169352625
288,4062,3.0,979164215
274,592,3.0,1177260697
68,119145,4.0,1526947645
24,86882,4.0,1458944025
419,31410,4.5,1321854960
377,6270,4.5,1340343319
610,45081,3.0,1493848150
125,1210,4.0,1474289493
153,92259,3.0,1525548862
328,2078,3.5,1494210562
584,288,1.0,834987672
608,594,2.5,1147211020
525,1259,4.0,1476481379
352,4306,3.0,1493675362
480,6753,3.5,1179164063
590,193,2.0,1258422888
597,1663,5.0,941641183
93,1641,4.0,942766804
600,371,1.0,1237759993
305,83134,5.0,1518811444
195,904,5.0,974707463
51,7163,2.5,1230930775
380,616,3.0,1494803864
599,86190,3.5,1498537653
477,3421,5.0,1200943853
433,174055,1.5,1506823913
154,73321,2.5,1486297269
474,6090,3.5,1089387203
191,50,5.0,829760898
191,229,5.0,829760897
105,4788,5.0,1526207223
375,1476,3.0,1225230713
599,1866,0.5,1498502786
474,160,1.0,1047055195
55,2490,3.5,1312747824
411,275,1.0,835533382
387,3681,4.0,1165128340
469,1965,4.0,965335401
587,3402,4.0,953137569
537,4993,4.5,1424138037
330,1527,4.0,1285905204
356,2542,4.0,1229139906
239,7438,4.0,1221158351
344,3948,2.5,1420496725
217,3168,3.0,955942076
160,434,3.0,971115520
42,548,4.0,996220852
304,1686,5.0,897788309
219,2723,4.0,1195349172
608,1025,3.5,1117505221
256,593,4.5,1446579926
567,92234,1.5,1525289218
380,33615,3.0,1494267384
603,1994,4.0,953925588
586,122886,5.0,1529899311
368,79,2.0,971276901
217,2752,3.0,955935493
474,4799,1.5,1068472788
32,3,3.0,856736172
182,7153,1.0,1073397287
484,4639,2.5,1342298454
479,1394,5.0,1039362729
380,2921,4.0,1493473863
84,948,4.0,860397409
602,422,3.0,840876417
563,45221,3.0,1446863357
610,5146,3.5,1493845798
137,1198,4.5,1204859688
555,2770,2.0,978746838
202,2000,4.0,974921289
4,1259,4.0,964538728
414,2260,2.0,961516318
58,435,3.0,847718818
18,500,3.5,1455618095
586,1704,5.0,1529901347
111,112788,2.5,1516156057
282,1954,4.0,1378497570
414,5322,4.0,1072058219
249,54999,3.5,1356218921
105,52281,5.0,1446750669
469,2987,2.0,965335273
274,3882,2.5,1171492360
121,25,4.0,847656224
597,1078,4.0,941640314
132,3863,3.0,1157978804
20,5110,3.0,1054037644
84,719,3.0,857653387
474,4537,4.5,1116386383
526,2692,4.5,1502132212
474,8424,4.0,1100292121
425,1320,4.0,1085490710
474,955,4.0,1087831602
70,3098,4.5,1355198198
414,3983,5.0,998322817
489,1220,3.0,1385823565
244,2278,3.0,975091042
462,2146,0.5,1171502799
360,1647,2.0,884997699
567,108932,4.5,1525283667
360,1479,1.0,884997822
332,1625,3.5,1352671796
489,2054,1.5,1333101723
93,2193,5.0,942946932
274,60538,3.5,1239123487
351,55118,4.5,1328360318
542,1200,4.0,1163387217
